CONT_NO,CONT_YYMM,MBR_NO,PLAN_ID,CALL_ID,STATUS,CALL_CAT,CRT_DATE,UPD_DATE,IS_COMPLAINT
CONT1001,202201,MBR000001,PLANC1,CALL345240,W,MT,2022-03-09,2022-03-16,0
CONT1001,202201,MBR000002,PLANC1,CALL357810,O,XC,2023-12-27,2024-01-25,0
CONT1001,202201,MBR000003,PLANC1,CALL350995,O,PR,2024-11-21,2024-12-09,0
CONT1001,202201,MBR000003,PLANC1,CALL967180,W,XC,2023-05-21,2023-05-25,0
CONT1001,202201,MBR000004,PLANC1,CALL368786,C,BP,2023-05-13,2023-05-15,0
CONT1001,202201,MBR000004,PLANC1,CALL165384,W,MT,2024-10-03,2024-10-19,0
CONT1001,202201,MBR000005,PLANC1,CALL102007,O,AR,2023-03-01,2023-03-04,1
CONT1001,202201,MBR000007,PLANC1,CALL283663,W,MT,2023-05-03,2023-05-31,0
CONT1001,202201,MBR000008,PLANC1,CALL945395,C,XP,2023-04-14,2023-05-13,1
CONT1001,202201,MBR000009,PLANC1,CALL441256,O,VP,2023-08-01,2023-08-26,0
CONT1001,202201,MBR000012,PLANC1,CALL302726,O,MT,2023-07-13,2023-07-27,0
CONT1001,202201,MBR000013,PLANC1,CALL910209,W,VP,2022-04-23,2022-05-11,0
CONT1001,202201,MBR000014,PLANC1,CALL525458,O,AC,2023-03-15,2023-03-18,0
CONT1001,202201,MBR000015,PLANC1,CALL993286,C,AP,2022-06-04,2022-07-03,0
CONT1001,202201,MBR000018,PLANC1,CALL417391,O,BC,2023-02-03,2023-03-01,0
CONT1001,202201,MBR000019,PLANC1,CALL750426,O,VP,2022-10-18,2022-11-01,0
CONT1001,202201,MBR000020,PLANC1,CALL500113,W,AR,2024-11-08,2024-11-14,0
CONT1001,202201,MBR000021,PLANC1,CALL366329,O,MT,2023-03-16,2023-03-22,1
CONT1001,202201,MBR000023,PLANC1,CALL934237,C,AR,2022-05-20,2022-06-16,0
CONT1001,202201,MBR000025,PLANC1,CALL642507,O,XP,2024-04-20,2024-05-02,0
CONT1001,202201,MBR000025,PLANC1,CALL265297,C,MT,2022-11-10,2022-12-09,0
CONT1001,202201,MBR000026,PLANC1,CALL200405,C,PR,2023-04-04,2023-04-21,0
CONT1001,202201,MBR000027,PLANC1,CALL182277,W,AC,2023-12-12,2023-12-26,1
CONT1001,202201,MBR000031,PLANC1,CALL689842,W,AP,2022-04-04,2022-04-26,0
CONT1001,202201,MBR000032,PLANC1,CALL424554,C,XC,2022-03-17,2022-04-05,0
CONT1001,202201,MBR000034,PLANC1,CALL512907,C,VP,2023-05-27,2023-06-23,0
CONT1001,202201,MBR000035,PLANC1,CALL721524,W,XP,2022-06-06,2022-06-06,0
CONT1001,202201,MBR000035,PLANC1,CALL361127,C,VP,2022-10-10,2022-10-12,0
CONT1001,202201,MBR000036,PLANC1,CALL442948,W,AR,2023-10-17,2023-11-06,0
CONT1001,202201,MBR000038,PLANC1,CALL407910,O,AP,2023-06-30,2023-07-25,0
CONT1001,202201,MBR000038,PLANC1,CALL635811,O,XP,2022-08-31,2022-09-12,0
CONT1001,202201,MBR000038,PLANC1,CALL763099,C,AP,2022-06-27,2022-07-17,1
CONT1001,202201,MBR000041,PLANC1,CALL860614,C,BC,2023-12-09,2023-12-11,1
CONT1001,202201,MBR000043,PLANC1,CALL618841,W,VP,2023-03-15,2023-03-25,0
CONT1001,202201,MBR000043,PLANC1,CALL912453,O,AR,2024-01-05,2024-02-03,0
CONT1001,202201,MBR000043,PLANC1,CALL468275,C,MT,2022-05-06,2022-06-03,0
CONT1001,202201,MBR000044,PLANC1,CALL205309,W,XC,2024-09-03,2024-09-26,0
CONT1001,202201,MBR000045,PLANC1,CALL796739,O,VP,2023-05-18,2023-06-12,0
CONT1001,202201,MBR000045,PLANC1,CALL939466,C,AR,2024-09-28,2024-10-23,1
CONT1001,202201,MBR000045,PLANC1,CALL806876,C,XC,2024-12-24,2025-01-19,0
CONT1001,202201,MBR000046,PLANC1,CALL805062,O,VP,2022-07-23,2022-08-07,1
